canonical_id,canonical_name,canonical_type,n_members,example_members,rationale
Can_8de8badb,erosion,DamageMechanism,5,erosion | erosion | erosion | erosion | erosion,"All entities describe the same damage mechanism of material surface wear due to mechanical action, with slight variations in description that can be unified."
Can_86a17269,corrosion,DamageMechanism,5,corrosion | corrosion | corrosion | corrosion | corrosion,All these entities describe the process of corrosion with slight variations in wording but refer to the same underlying concept of material degradation due to chemical reactions.
Can_35683d76,graphitization,DamageMechanism,5,graphitization | graphitization | graphitization | graphitization | graphitization,"All these entities describe the same damage mechanism involving the formation of graphite in steel, affecting its properties and leading to potential failures."
Can_c35558d2,"startup, shutdown, and transient conditions",OperatingCondition,5,"start-up, shutdown, and transient conditions | startup and shutdown | startup phase | shutdown phase | startup or shutdown","These entities describe overlapping operational phases with similar risks related to embrittlement and temperature changes, suggesting they refer to the same or closely related concepts."
Can_ce90861d,erosion-corrosion,DamageMechanism,4,erosion-corrosion | erosion-corrosion | erosion-corrosion | erosion-corrosion,"All entities share the same name, type, and describe a similar damage mechanism involving the combined effects of erosion and corrosion, indicating they refer to the same concept."
Can_776f1b68,low alloy steels,Material,4,low alloy steels | low alloy steels | low alloy steels | low alloy steels,"These entities all refer to 'low alloy steels' with similar descriptions and characteristics, indicating they are the same material type."
Can_1f26262f,cracking,DamageMechanism,4,cracking | cracking | cracking | cracking,"These entities describe general cracking mechanisms and events, with overlapping descriptions and contexts."
Can_2b85c594,Stainless Steel,Material,4,stainless steel | stainless steel | SS | Stainless Steel,"All entities refer to stainless steel, a corrosion-resistant alloy, with descriptions that overlap significantly in terms of composition and characteristics."
Can_652d24b3,Heat Affected Zone (HAZ),Component,4,Heat Affected Zone (HAZ) | heat-affected zone | heat affected zone | weld heat affected zone,"All entities refer to the same concept of a zone affected by welding heat, with variations in naming and description details."
Can_e7cdea48,Hydrogen Induced Cracking (HIC),DamageMechanism,4,Hydrogen Induced Cracking (HIC) | Hydrogen Induced Cracking | hydrogen induced cracking | Hydrogen Induced Cracking,"All entities describe the same damage mechanism involving hydrogen-induced cracking in metals, with slight variations in description but consistent in type and context."
Can_b3e680a3,Magnetic Particle Testing,InspectionMethod,3,MT | MT inspection | MT examination,"All three entities refer to Magnetic Particle Testing, a method for detecting surface defects, and share similar descriptions and type hints."
Can_a1f38d34,eyebrow graphitization,DamageMechanism,3,eyebrow graphitization | eyebrow graphitization | eyebrow graphitization,"All entities share the same name and type, and their descriptions refer to the same phenomenon of graphite formation in heat affected zones, with slight variations in wording."
Can_3548ed18,850°F to 1025°F (441°C to 552°C),OperatingCondition,3,850°F to 1025°F (441°C to 552°C) | 1025oF (552oC) | 850oF (440oC),"These entities describe overlapping temperature ranges related to graphitization and embrittlement, suggesting they refer to the same operating condition."
Can_050548b6,bulging,Symptom,3,bulging | bulging | bulging,"All three entities describe 'bulging' as a deformation of tubes with similar causes and implications, fitting the same symptom category."
Can_d0a71d52,Ultrasonic Testing (UT),InspectionMethod,3,UT | Ultrasonic Testing (UT) | UT methods,"All entities refer to the same non-destructive testing method using ultrasonic waves, with slight variations in description and naming."
Can_d8492108,thermal fatigue,DamageMechanism,3,thermal fatigue | thermal fatigue | thermal fatigue,"All entities have the same name and type, and their descriptions are variations of the same concept, indicating they refer to the same entity."
Can_3b49d02c,D.N. French,Author,3,D.N. French | D.N. French | D.N. French,"All entities refer to the same author of the same book, with slight variations in description."
Can_f030900c,D.N. French,Author,3,D.N. French | D.N. French | D.N. French,"All entities refer to the same author of the same work, 'Microstructural Degradation', with no conflicting information."
Can_0b5f14fd,temperature,CriticalFactor,3,temperature | temperature | temperature,"These entities share the same name, type, and similar descriptions related to their influence on graphitization and spheroidization in steels."
Can_a6b2040f,low alloy steels,Material,3,low alloy steels | low alloy steels | low alloy steels,"These entities all refer to 'low alloy steels' with similar descriptions, indicating they are the same material type."
Can_6c719733,heat affected zone graphitization,DamageMechanism,3,weld heat affected zone graphitization | heat affected zone graphitization | heat affected zone graphitization,"All entities describe the same damage mechanism involving graphitization in the heat-affected zone of welds, with similar descriptions and type hints."
Can_ae2f431c,hot-wall piping,Component,3,hot-wall piping | hot-wall piping | hot wall piping,"All entities refer to piping that operates at high temperatures and are used in similar industrial contexts, with slight variations in description that complement each other."
Can_6cf8b163,exposure time,CriticalFactor,3,time of exposure | time | exposure time,"All entities refer to the duration of exposure to conditions affecting material properties, with similar descriptions and type hints, suggesting they represent the same concept."
Can_46c1b718,ductile-to-brittle transition temperature,MaterialProperty,3,ductile-to-brittle transition temperature | ductile-to-brittle transition temperature | ductile-to-brittle transition temperature,"All entities refer to the same material property with similar descriptions and identical names, indicating they represent the same concept."
Can_60ea5c33,ASM Metals Handbook: Properties and Selection,ReferenceMaterial,3,ASM Metals Handbook | ASM Metals Handbook | ASM Metals Handbook,"These entities describe the same reference material focusing on properties and selection of metals, specifically iron, steels, and high-performance alloys."
Can_696d2f85,Ferritic Materials,Material,3,Ferritic Stainless Steels | Ferritic Steels | ferritic materials,"These entities all describe materials with a ferritic structure, including stainless steels and low alloy steels, and share similar properties and applications."
Can_e2a1af62,"ASM Metals Handbook, Volume 13, “Corrosion”",ReferenceMaterial,3,"ASM Metals Handbook, Volume 13, “Corrosion” | ASM Metals Handbook, Volume 13, “Corrosion” | ASM Metals Handbook, Volume 13, “Corrosion”","All entities have the same name, type, and similar descriptions, indicating they refer to the same reference material."
Can_7d7ac467,H.M. Herro,Author,3,H.M. Herro | H.M. Herro | H.M. Herro,"All entities refer to the same author with consistent name and description, differing only in publication details which can be consolidated."
Can_57e1f6be,Charpy impact test,InspectionMethod,3,Charpy V-notch impact test | Charpy impact testing | Charpy impact test,"All entities refer to the Charpy impact test, a method for assessing material toughness, with slight variations in description but consistent in purpose and type."
Can_7345b7be,thermal fatigue,DamageMechanism,3,thermal fatigue | thermal fatigue | Thermal fatigue,"All entities refer to the same concept of thermal fatigue, a damage mechanism involving temperature fluctuations and cyclic stresses, with slight variations in description."
Can_4b80163c,design modification,MitigationAction,3,mechanical modification | design change | design improvements,"These entities all describe changes to design or mechanical components to prevent damage, fitting under a broader concept of design modification."
Can_9a9cf999,local overheating,DamageMechanism,2,local overheating | local overheating,"Both entities refer to 'local overheating' as a damage mechanism with overlapping descriptions, indicating they are the same concept."
Can_2e8a8b04,Boiler Tube Failures,FailureEvent,2,Boiler Tube Failures | Boiler Tube Failures,"Both entities have the same name, type, and very similar descriptions, indicating they refer to the same concept of failures in boiler tubes."
Can_0cf078af,D.N. French,Author,2,D.N. French | D.N. French,"Both entities have the same name, type, and are described as the author of the same book, indicating they refer to the same individual."
Can_6e43c5e7,thermal shock,DamageMechanism,2,thermal shock | thermal shock,"Both entities have the same name and type, and their descriptions are nearly identical, differing only slightly in wording. This suggests they refer to the same concept."
Can_a116026f,corrosion,DamageMechanism,2,corrosion | corrosion,"Both entities describe the general concept of corrosion as a chemical degradation process, with overlapping descriptions."
Can_fa8670a4,moisture,Condition,2,moisture | water phase,"Both entities refer to the presence of water necessary for conductivity, and can be merged under the concept of 'moisture'."
Can_92e95a22,Boiler Tube Failures,FailureEvent,2,Boiler Tube Failures | Boiler Tube Failures,"Both entities refer to a comprehensive study on boiler tube failures, with similar descriptions and the same type hint, indicating they are the same entity."
Can_f0be514d,1.25Cr-0.5Mo,Material,2,1.25Cr-0.5Mo | 1.25Cr-0.5Mo,Both entities have the same name and similar descriptions indicating they refer to the same material.
Can_22317f5f,API Standard 530,Standard,2,API Standard 530 | API Standard 530,"Both entities refer to the same standard for calculating heater tube thickness, with one providing additional detail about the issuing organization."
Can_b66f6fea,thermal fatigue,DamageMechanism,2,thermal fatigue | thermal fatigue,"Both entities have the same name, type, and very similar descriptions, indicating they refer to the same concept."
Can_23df5248,API Standard 660,Standard,2,API Standard 660 | API Standard 660,"Both entities refer to the same standard for shell and tube heat exchangers in refinery service, with similar descriptions and identical names."
Can_8a8eead3,temperature swing,OperatingCondition,2,temperature swing | temperature swing,"Both entities refer to the same concept of temperature variation impacting thermal fatigue, with similar descriptions and identical type hints."
Can_1e244d5e,number of cycles,OperatingCondition,2,number of cycles | number of cycles,"Both entities have the same name and type hint, and their descriptions are very similar, indicating they refer to the same concept."
Can_3160b077,cracking,DamageMechanism,2,cracks | cracking,"Both entities describe cracking as a form of mechanical damage, with similar characteristics and effects, fitting under the same type."
Can_b28d4eea,stress,OperatingCondition,2,stress | stress,"Both entities have the same name, type, and similar descriptions related to stress in thermal fatigue, indicating they refer to the same concept."
Can_a9b24aee,RT,InspectionMethod,2,RT | RT,"Both entities refer to the same inspection method, Radiographic Testing, with similar descriptions and type hints."
Can_09d44f87,SWUT,InspectionMethod,2,SWUT | SWUT,"Both entities refer to the same inspection method, SWUT, with similar descriptions and type hints, indicating they are the same entity."
Can_73be660e,Penetrant Testing,InspectionMethod,2,PT | PT examination,"Both entities refer to the same non-destructive testing method, Penetrant Testing, with similar descriptions and type hints."
Can_b160aa4f,naphthenic acid corrosion,DamageMechanism,2,NAC | naphthenic acid corrosion,"Both entities describe the same corrosion mechanism caused by naphthenic acids, with similar descriptions and type hints."
